,name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Litter Size,Predators,Type,Distinctive Feature,Temperament,Training,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Favorite Food,Origin,Optimum pH Level,Migratory,Special Features,Optimum PH Level
85,Arctotherium,,,,The first fossil from the genus Arctotherium was discovered back in 1852.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Arizona Bark Scorpion,"insects, spiders, centipedes and other scorpions",scorplings,Colonial Nesting,"Under UV light they glow a bright blue or green, making them easy to spot.",,natural predators and pesticides,"2 pedipalps like ""crab claws""",,9 months,deserts,Carnivore,,,Arizona Bark Scorpion,1,"California, Arizona, New Mexico and Mexico",,,up to 30,,Anthropod,,,,,,,,,,,,,,,,,,
87,Arizona Black Rattlesnake,"Lizards, amphibians, small mammals, and occasionally birds.",Neonate,Semi-socialCommunity-minded,Female Arizona black rattlesnakes sometimes share parenting duties.,,,,"Arizona black rattlesnake, black rattlesnake, black diamond rattlesnake, brown rattlesnake, Cerberus rattlesnake, mountain diamond-back; often called a timber rattlesnake.",,"Forests, leaf litter",Carnivore,,DiurnalSolitarySociableor Nocturnal Depending on Region and Season,,,,,,4-10,"Hawks, other snakes, coyotes, and other predators.",,,Docile,,,,,,,,,,,Small mammals,,,,,
88,Arizona Coral Snake,"No serious threats, but habitat loss may be a minor problem in some locations",Very narrow black head about the same diameter as its body,,The Arizona coral snake is among the most venomous snakes of North America.,"Unknown, but believed to be stable","No serious threats, but habitat loss may be a minor problem in some locations",Sonoran coral snake or the Arizona coral snake,Sonoran coral snake or the Western coral snake,10 weeks to hatch,"The dry, arid habitats of the Sonoran Desert throughout the southwestern United States and northwestern Mexico",Carnivore,,,Arizona coral snake,,,,,,Birds of prey,,Very narrow black head about the same diameter as its body,,,,,,,"Alternating red and black bands, each one separated by an additional light yellow band",,,,,,,,,,
89,Armadillo,,,,,,,,,,Forest and grasslands,Omnivore,4,Solitary,,,United States,"Can curl into a hard, protective ball!",,,"Bear, Wolf, Coyote",Mammal,Armoured plated skin and can curl into a ball,,,,,,,"Insects, Ants, Termites",,,,,Insects,,,,,
90,Armadillo Lizard,Mainly desert insects,Baby,Group,"They communicate through a series of tongue flicking, head bobbing and tail wagging, among other methods.",Unknown,Black market poaching,"Scaled, spiky shell","Armadillo girdled lizard, Golden-armadillo lizard, dragon armadillo lizard",Two months,South African deserts,Carnivore,,,Armadillo lizard,,Desert,,Squamata,1-2,Birds of prey,Reptile,,,,,,,,,,,,,"Desert insects, scorpions, plants",,,,,
91,Armyworm,,larva,Solitary,"They are so named because they ""march"" in armies of worms from one crop to another in search of food",,pest control,Five stripes of various colors running the length of the body,"true armyworm moth, white-speck moth, common armyworm or rice armyworm",3.5 to 6.5 days (egg to larva),Agricultural crops and weedy grasses,Herbivore,,,armyworm,30,"Americas, southern Europe, central Africa, and western Asia",,solitary,500 to 1500 eggs per adult female,"humans with pesticide treatments, bats, ground beetles, ants, spiders, bobolink blackbirds, starlings, crows; wasp and fly parasitoids; bacterial and fungal diseases",Insect,,,,1.5 inches,,,,,,,,,,,,,,
92,Aruba Rattlesnake,"small rodents, birds, and lizards",Neonates,,This rattlesnake only lives on the island of Aruba.,Unknown,Human encroachment,,,About four months,"Dry, rocky areas on the island",Carnivore,,Nocturnal/Crepuscular,,,Aruba,,,5-15,Birds of prey,,,Mild-mannered,,,,,,,,,,,,,,,,
93,Asian Arowana,"Insects, frogs, spiders, lizards, birds, bats, and more",,Solitary,The male Asian arowana raises the eggs in its mouth,Unknown,Overfishing and habitat loss,The bright lustrous scales,Asian bony tongue and dragonfish,,Rivers and swamps of Southeast Asia,Carnivore,,,Asian Arowana,1,,,,,Larger fish,Ray-finned fish,,,,,,,,,,,,,,,,,,
94,Asian Cockroach,Decaying plant and animal matter,Nymph,Colony,Originally discovered in Japan,,Extermination by humans,Body length wings,Roach,19 days,,Omnivore,,,Roach,1,North America and Japan,,Cockroach,35-40 eggs per egg case,,Insect,,,,,,,,,,,,,,,,,,
95,Asian Elephant,,,,"The young are taken care of by all of the female elephants in the herd, referred to as ""aunties.",,,,,,Rainforest and tropical woodland,Herbivore,1,Herd,,,,Domesticated for hundreds of years!,,,"Human, Tiger",Mammal,Long trunk and large feet,,,,,,,"Grass, Fruit, Roots",,,,,Grass,,,,,
96,Asian Giant Hornet,"Bees, Honeybees, Insects, Wasps",Larvae,Colony,The largest wasp in the world!,Unknown,Habitat loss,,Giant Sparrow Bee,,Dense woodland,Carnivore,,Diurnal,Asian Giant Hornet,1,Eastern Asia,The largest wasp in the world!,Wasp,,Human,,Wide black and orange body and large mandibles,,,,1 week,,,,10 days,50,,,,,,,,
97,Asian Palm Civet,,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,It mainly eats mangos and coffee!,,,"Lions, Snakes, Leopards",Mammal,"Elongated body and snout with sharp, pointed teeth",,,,,,,"Rodents, Snakes, Frogs",,,,,Rodents,,,,,
98,Asian Vine Snake,"Frogs, lizards, insects, small birds",Neonate or snakelets,,This snake chews on its victims to release venom,Unknown,None,Pencil-thin body,"Gunther’s whip snake, Oriental whip snake, and Boie’s whip snake",,,Carnivore,,,Asian vine snake,,,,,,,,Their head is spear-shaped and pointed,,,,,,,Frogs,,,,,,,,,,
99,Asiatic Black Bear,"Nuts, Fruits, Insects",Cub,Solitary,Known to eat 160 different tree-borne fruits in Thailand!,"50,000",Hunting and Habitat loss,Distinctive v-shaped marking on chest,"Asian Black Bear, Himalayan Black Bear, Tibetan Black Bear, Moon Bear",6 - 8 months,Deciduous Tropical Forest,Omnivore,2,Nocturnal,Asiatic Black Bear,7,"Central and Southern Asia, Russia and Japan",Known to eat 160 different tree-borne fruits in Thailand!,Mammal,,"Tiger, Wolves, Humans",,,,,,,,,,,,,,,,,,,
100,Asp,"Rodents, birds, lizards",,,"It was the symbol of royalty in Egypt, and its bite was used for the execution of favored criminals in Greco-Roman times.",,,,,,,Omnivore,,,European asp,,,,,5 to 12,,,,,,,,,,,,,,,,,,,,
101,Assassin Bug,Insects or blood,,Solitary,The assassin bug is named for its quick strike ability.,unknown,none,The long piercing beak or proboscis,Ambush bug,2 weeks,"Gardens, fields, grasslands, forests, and more",Carnivore,,,Assassin bug,7000,Worldwide,,,10-100 eggs,"Birds, mammals, and other animals",insect,,,,,,,,,,,,,,,,,,
102,Atlantic Salmon,"Invertebrates, other fish",,School,These fish are known for their ability to leap and fight when hooked.,,"Overfishing, dams, pollution, habitat destruction",Large size,"Bay salmon, black salmon, caplin-scull salmon, silver salmon, outside salmon, fiddler, sebago salmon, and winnish",6 weeks,,Omnivore,,,Salmon,,,,,,,Salmonid fish,,,,,,,,,,,,,,,,,,
103,Atlas Moth,,Larva,Solitary,Adult atlas moths do not eat - they live off fat they stored as larvae.,,Birds and lizards,Large wings with distinctive brown and white markings,Attacus Atlas,4 Weeks (in the pupal stage),"Dry tropical forests, shrubland, and secondary forests in Southeast Asia",Herbivore,200-300,,Atlas moth,1,Southeast Asia,,Solitary,,Birds and lizards,Insect,,,,Up to 10 inches,,,,,,,,,"Citrus, evergreen, cinnamon, and guava trees",,,,,
104,Aurochs,,Calves,Herds,The ancestor of all domesticated cattle!,None,,Its impressive size,,,"Grasslands, floodplains, and light woodlands",Omnivore,,,Aurochs,,"Europe, Asia, and North Africa",Extinct ancestor of all domesticated cattle!,Cattle,,Wolves and large cats,,,,,,,,,,,,,,Grass,,,,,
105,Aussiedoodle,,,,The breed has its own popular Instagram page (Aussiedoodles Daily)!,,,,,,,Omnivore,,,Aussiedoodle,,,,,,,,,,,,,,,,,,,,,,,,,
106,Aussiedor,,,,"Aussiedors come in black, brown, cream, yellow, and almost every imaginable color due to their parentage!",,,,,,,Omnivore,,,,,,,,,,,,"Affectionate, energetic, and loyal",,,,,,,,,,,,,,,,
107,Australian Bulldog,,,,"The Aussie is a strong swimmer, a good workout in nice weather.",,,,,,,Omnivore,,,,,,,,,,,,"Intelligent, fiercely loyal, and sweet-natured",,,,,,,,,,,,,,,,
108,Australian Cattle Dog,,,,,,,,,,,Omnivore,5,,Australian Cattle Dog,,,High energy levels and active minds!,Herd Dog,,,,,Strong minded yet loyal and loving,Should be trained from an early age and respond best to firm and fair training,,,,,,,,,,,,,,,
109,Australian Cockroach,Decaying plant matter,Nymph,Colony,The most common type outdoor roach in Florida,,Extermination by humans,Tan head with dark brown markings,"Waterbug, shad roach",40 days,,Omnivore,,,Roach,1,"Africa, Australia, North America",,Cockroach,12-24 eggs per egg case,,Insect,,,,,,,,,,,,,,,,,,
110,Australian Flathead Perch,"Plankton, shrimp, invertebrates","larva, until they develop into fishes",,"This small fish fetches a high price tag, with individuals selling from $1,000 to $5,000.",Unknown,Habitat destruction,Lilac stripes,Rainfordia or Rainford's perch,Eggs hatch within 24 hours,,Omnivore,,,Australian Flathead Perch,1,,,,,,Fish,Its head is flattened into a triangular point like a pencil,,,,,,,,,,,,,,,,,
111,Australian Gecko,"Insects, smaller lizards, invertebrates",Hatchling,Solitary/Group,Geckos have 100 teeth and continually replace them.,Millions. Conservation status of many of these geckos is least concern.,Illegal pet trade,"The ability to climb up just about anything, including glass.","Moon lizard, Tayoto, nactus, dtella, chichak",30 to 80 days,,Omnivore,,,Australian gecko,,Australia,,,One or two eggs,,Reptile,,,,,,,,,,,,,,,,,,
112,Australian Kelpie Dog,,,,Kelpie can travel more than 30 miles in one day.,,,,,,,Omnivore,5,,Australian Kelpie Dog,,,"Friendly, intelligent and energetic!",Herd Dog,,,,,Alert and intelligent,Should be trained from an early age and should be firm but fair,,,,,,,,,,,,,,,
113,Australian Labradoodle,,,,"The ""Australian"" just refers to where the breed originated",,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Australian Mist,,,,The Australian Mist (or spotted Australian mist) was bred in Australia in the 1700s to produce a short-haired cat with a spotted coat.,,,,Spotted Mist,,,Omnivore,4,,Australian Mist,,,First bred in the 1700s!,Shorthair,,,,,"Affectionate, gentle and trustworthy",,,,,,,,,,,,,,,,
115,Australian Retriever,,,,The Australian Retriever may have two different eye colors.,,,,,,,Omnivore,,,,,,,,,,,,"Active, intelligent, and friendly",,,,,,,,,,,,,,,,
116,Australian Shepherd,,,,,,,,,,,Omnivore,7,,Australian Shepherd,,,"Sweet, faithful and affectionate!",Herd Dog,,,,,"Loyal, outgoing, and friendly",Should be trained from an early age and they are easy to train but it takes time,,,,,,,,,,,,,,,
117,Australian Terrier,,,,"Australian terriers originally came from Tasmania. They're a mix between Cairn, Yorkshire, Skye, Irish, and Dandie Dinmont terriers.",,,,,,,Omnivore,4,,Australian Terrier,,,"Spirited, alert and courageous!",Terrier,,,,,"Courageous, energetic and confident",Should be trained from an early age and respond best to fun and challenging training methods,,,,,,,,,,,,,,,
118,Australopithecus,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Avocet,,,,"The avocet's long, sinewy legs make it appear as if it's walking on stilts!",,,,,,Temperate wetlands,Carnivore,,Flock,,,,"Has a curved, upturned beak!",,,"Dogs, Cats, Stouts",Bird,Long curved beak and striking plumage,,,29-31.5 inches,3-4 weeks,,,"Insects. Fish, Crustaceans",,,Shores,About a month,Insects,,,1,,
120,Axolotl,,,Solitary,,,,,,,High altitude freshwater lakes,Carnivore,500,Solitary,,,,Found only in one complex of lakes!,,,"Birds, Fish",Amphibian,Feathery gills and flattened-shaped head,,,,,,,"Worms, Insects, Molluscs",,,,,Worms,,,,,
121,Aye Aye,"Insects, Larvae, Fruit",Infant,Solitary,Thought to be extinct until 1957!,"1,000 - 10,000",Hunting and habitat loss,Elongated middle finger with hooked claw,,170 days,"Dense, tropical rainforest",Omnivore,1,Nocturnal,Aye Aye,1,Eastern coast of Madagascar,Thought to be extinct until 1957!,Mammal,,"Human, Fossa, Birds of Prey",,,,,,,,,,,,,,,,,,,
122,Babirusa,,Piglet,Solitary/Group,Babirusas can stand on their back hooves to eat leaves on the lower branches of a tree.,Unknown,Habitat loss,Curved tusks on the upper half of its snout,Deer-pig,155-158 days,"Swamps, forests near rivers",Omnivore,,,"Babirusa, deer-pig",4,Indonesia,,Social and solitary,1-2,,Mammal,,,,,,,,,,,,,"Berries, leaves, fruit, insects, carrion, fungi, bark, grasses",,,,,
123,Baboon,"Fruits, Seeds, Insects",Infant,Troop,Can travel more than four miles a day!,Decreasing,Hunting and habitat loss,"Dog-like muzzle and long, bent tail","Olive Baboon, Yellow Baboon, Guinea Baboon, Chacma Baboon, Hamadryas Baboon",170 days,"Grassland, rocky desert and rainforest",Omnivore,1,Diurnal,Baboon,5,Africa and Western Arabia,Can travel more than four miles a day!,Mammal,,"Lion, Leopard, African Wild Dog",,,,,,,,,,,,,,,,,,,
124,Bactrian Camel,,,,,,,,,,Deserts close to water,Herbivore,1,Herd,,,,The camel with two humps!,,,"Human, Tiger, Monitor Lizards",Mammal,Thick fur and two humps,,,,,,,"Seeds, Grass, Thorny Shrubs",,,,,Grass,,,,,
125,Badger,,,,,,,,,,Woodland and hedgerows,Omnivore,3,Solitary,,,,Can reach speeds of 30 km/h!,,,"Human, Eagle, Wildcats",Mammal,Flattened body and long claws,,,,,,,"Worms, Roots, Fruit",,,,,Worms,,,,,
126,Baiji,"Yellow catfish, carp, copper fish",,School,Baijis use echolocation to find food in the Yangtze River.,Unknown,"Commercial fishing nets, habitat loss","A long, upturned nose","Yangtze dolphin, white fin, white flag",6-12 months,River,Carnivore,,,Baiji,6,,,,,,Cetacean,,,,,,,,,,,,,,,,,,
127,Baird’s Rat Snake,,,,Baird’s rat snake subdues its prey through suffocation.,,,"Orange, yellow, or salmon-colored back (in the wild)",Baird's ratsnake or Baird's pilot snake,3 months,"Along the dry, rocky Big Bend habitat along the border between the United States and Mexico",Carnivore,,,Baird's Rat Snake,,,,,,,,Small head with little distinction from the neck,,,,,,,,,,,,"Rodents, birds, and lizards",,,,,
128,Bald Eagle,"Fish, birds, and small mammals",,,"Bald eagles have 20/5 vision, which is much sharper than a human's",,Pesticide use,The white plumage on the head,American eagle,,Near forests,Carnivore,,,bald eagle,1,North America,,,,"Wolverines, bobcats, foxes, bears, raccoons, and birds",bird,,,,70-90 inches,35 days,,2,,,,"Cliffs, trees, buildings, and ground",8-14 weeks,,,,,,
129,Baleen Whale,"Krill, fish, zooplankton, phytoplankton, and algae",calves,Solitary,“Sings” a whale song during breeding season.,1.1 million+,Poaching/whaling,Baleen (rather than teeth),whalebone whale or mysticetes,10 months,Warm and freezing ocean,Carnivore,,,baleen whale,-2,Oceanwide,,solitary,1,"Humans, orcas",Mammal,,,,,,,,,,,,,,,,,,
130,Balinese,,,,Playful and energetic breed!,,,,"Purebred longhaired Siamese, Longhaired Siamese, Thai Siamese",,,Omnivore,5,,Balinese cat,,,Playful and energetic breed!,Semi-Longhair,,,,,"Affectionate, playful and energetic",,,,,,,,,,,,,,,,
131,Balkan Lynx,"Hares, rabbits, birds, rodents, chamois, deer, sheep","Kitten, cub",Solitary,The Balkan lynx communicates mostly with its ears,"60 to 120, conservation status is critically endangered",Humans,Its tufted ears.,,67 to 74 days,"Evergreen and deciduous forests, bush, shrublands, mountain pastures",Carnivore,,,Balkan lynx,,"Albania, North Macedonia, Kosovo, Montenegro, Croatia, and possibly in northern Greece",,,One to five,"Humans, wolves occasionally",Mammal,,,,,,,,,,,,,,,,,,
132,Ball Python,,,,,,,,,,,Carnivore,,,ball python,,,,,11 eggs,,,,,,,,,,,,,,,,,,,,
133,Banana Ball Python,,,,,,,,,,,Carnivore,,,banana python,,,,,four to 10,,reptile,,,,,,,,,,,,,,,,,,
134,Banana Eel,"Crustaceans, mollusks, small fish.",,Solitary,Named for the yellow body and brown spots that make it look like a banana.,Unknown,Bigger fish,Yellow body,"Golden banana moray eel, golden-tail moray, bastard eel, conger moray",,"Reefs, rocky coasts, and other shallow waters with hiding places from predators.",Carnivore,,,Golden-tail moray,1,,,,,Bigger fish,Fish,,,,,,,,,,,,,,,8.1 – 8.4,,,
135,Banana Spider,Mostly insects,"Spiderlings, hatchlings",Solitary,People spin clothing and fishing nets out of these spiders’ silk., Possibly millions. The IUCN classification of most Nephila species is least concern.,"Climate change, habitat destruction",The way their webs shimmer like gold in the sunlight,"Giant wood spider, golden orb weaver, calico spider, writing spider, golden silk orb-weaver","Three to four weeks, depending on the weather","Moist forests, backyards",Carnivore,,,Banana spider,12,Warmer areas around the world,,,300 to 3000 hatchlings,"Birds, damselflies",Arachnid,,,,,,,,,,,,,,,,,,
136,Banded Krait,"Some of their favorite food includes rat snakes, sunbeam snakes, rainbow water snakes, and cat snakes. They also consume fish, skinks, frogs, and eggs.",Habitat loss,Solitary/Herd,What often prevents more people from falling victim is that the banded krait does not always inject venom in a defensive bite. It saves the venom for hunting prey instead.,,Habitat loss,,,,"Forests (including mangrove forests), open plains, and agricultural fields and plantations",Carnivore,,Nocturnal,,,,,,,,,,,,,,,,Other snakes,,,,,,,,,,
137,Banded Palm Civet,,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,Markings give it camouflage!,,,"Lions, Snakes, Leopards",Mammal,"Elongated body and snout with sharp, pointed teeth",,,,,,,"Rodents, Snakes, Frogs",,,,,Rodents,,,,,
